,Boat Type,Manufacturer,Type,Year Built,Price (EUR),Length,Width,Material,Number of views last 7 days,Location
8862,Launch,,Used boat,2011,29500,7.1,2.45,GRP,137,Netherlands
8864,Sport Boat,Invictus power boats,"new boat on order,Unleaded",2020,29500,6.1,2.4,GRP,181,Switzerland
8865,Sport Boat,ManÃ² power boats,Used boat,2006,29500,6.9,2.5,GRP,120,Italy
8866,Launch,,"Used boat,Diesel",2004,29500,6.75,2.4,Steel,230,Wijdenes
8867,"Classic,Motor Yacht",Skilso power boats,"Used boat,Unleaded",1966,29500,8.4,2.5,Wood,377,Netherlands
8868,Sport Boat,Tullio Abbate power boats,"Used boat,Diesel",1984,29500,10.05,3.03,Plastic,550,Spain
8869,Trawler,,Used boat,1972,29500,8.8,3.1,Steel,145,Netherlands
8871,Working Boat,,Used boat,1978,29500,9.7,3.33,Aluminium,118,Netherlands
8872,Sport Boat,Bayliner power boats,"Used boat,Unleaded",2016,29500,5.6,2.4,,157,France
8873,Trawler,Four Winns power boats,"Used boat,Unleaded",2000,29500,8.6,2.59,GRP,578,Lago
8874,Trawler,,Used boat,1971,29500,9.4,3.2,Steel,117,Netherlands
8875,Cabin Boat,Altena power boats,"Used boat,Diesel",1975,29500,9.8,3.15,Steel,330,Germany
8876,Runabout,Boesch power boats,Used boat,1971,29500,5.8,2.02,Wood,520,Germany
8877,Runabout,Piantoni (IT) power boats,"Used boat,Unleaded",1977,29490,6.0,2.14,,112,Germany
8878,Motor Yacht,Draco power boats,"Used boat,Unleaded",1984,29400,7.6,2.8,GRP,242,Germany
8880,Motor Yacht,Quicksilver (Brunswick Marine) power boats,"new boat from stock,Unleaded",2020,31530,6.12,2.4,GRP,183,Switzerland
8883,Deck Boat,Sea Ray power boats,"Used boat,Unleaded",2000,31500,6.58,2.6,GRP,211,Switzerland
8884,Pontoon Boat,Quicksilver (Brunswick Marine) power boats,"new boat from stock,Unleaded",2019,29000,6.7,2.55,GRP,203,Italy
8887,Sport Boat,Four Winns power boats,"Used boat,Unleaded",2005,29000,7.8,2.56,,166,France
8889,Motor Yacht,Bruno Abbate power boats,"Used boat,Diesel",1989,29000,10.5,3.25,GRP,136,Italy
8891,Pontoon Boat,Sciallino power boats,"Used boat,Diesel",1994,29000,7.5,2.5,GRP,215,Italy
8892,Center console boat,Boston Whaler power boats,"Used boat,Diesel",1998,29000,6.88,2.47,,153,Spain
8893,Pontoon Boat,Intermare power boats,"Used boat,Diesel",1997,29000,9.0,3.0,GRP,102,Italy
